individual	heteroplasmy	generation	mutation_rate	bottleneck_size	back_mutation_rate	starting_heteroplasmy
74	0.00048828125	1	1e-08	8	1	0.1
75	0.4375	1	1e-08	16	1	0.1


63	0.0078125	1	1e-08	128	1	0.1
67	0.125	1	1e-08	128	1	0.1




78	0.8125	1	1e-08	16	1	0.1
80	0.25	1	1e-08	8	1	0.1


68	0.09375	1	1e-08	128	1	0.1
64	0.171875	1	1e-08	128	1	0.1

72	0.046875	1	1e-08	64	1	0.1
79	0.000244140625	1	1e-08	8	1	0.1
69	0.046875	1	1e-08	64	1	0.1




61	0.0078125	1	1e-08	128	1	0.1
76	0.000244140625	1	1e-08	8	1	0.1
81	0.0001220703125	1	1e-08	16	1	0.1

70	0.000244140625	1	1e-08	64	1	0.1

84	0.0001220703125	1	1e-08	8	1	0.1
66	0.046875	1	1e-08	128	1	0.1




73	0.375	1	1e-08	16	1	0.1
83	0.000244140625	1	1e-08	16	1	0.1

87	0.0001220703125	1	1e-08	8	1	0.1
62	0.000244140625	1	1e-08	64	1	0.1
77	1	1	1e-08	8	1	0.1
65	0.328125	1	1e-08	128	1	0.1
75	0.000244140625	1	1e-08	32	1	0.1
72	0.0234375	1	1e-08	128	1	0.1

91	0.0001220703125	1	1e-08	8	1	0.1
82	0.5	1	1e-08	8	1	0.1
71	0.109375	1	1e-08	128	1	0.1
90	0.0009765625	1	1e-08	8	1	0.1
88	0.0001220703125	1	1e-08	8	1	0.1
70	0.1953125	1	1e-08	128	1	0.1



69	0.1171875	1	1e-08	128	1	0.1
81	0.0625	1	1e-08	32	1	0.1

74	0.0001220703125	1	1e-08	16	1	0.1
79	0.25	1	1e-08	16	1	0.1

84	6.103515625e-05	1	1e-08	16	1	0.1







78	0.1875	1	1e-08	32	1	0.1





80	0.00048828125	1	1e-08	16	1	0.1
85	0.001953125	1	1e-08	8	1	0.1
76	0.000244140625	1	1e-08	16	1	0.1
92	6.103515625e-05	1	1e-08	8	1	0.1





87	0.000244140625	1	1e-08	16	1	0.1
75	0.328125	1	1e-08	64	1	0.1


62	6.103515625e-05	1	1e-08	128	1	0.1

74	0.00018310546875	1	1e-08	32	1	0.1
77	0.0001220703125	1	1e-08	16	1	0.1

83	0.0625	1	1e-08	32	1	0.1
78	0.00042724609375	1	1e-08	64	1	0.1



96	6.103515625e-05	1	1e-08	8	1	0.1
95	1	1	1e-08	8	1	0.1
89	0.0001220703125	1	1e-08	8	1	0.1
73	0.375	1	1e-08	32	1	0.1
94	6.103515625e-05	1	1e-08	8	1	0.1
93	0.0001220703125	1	1e-08	8	1	0.1
80	6.103515625e-05	1	1e-08	32	1	0.1

91	0.1875	1	1e-08	16	1	0.1






79	0.3125	1	1e-08	32	1	0.1

90	0.001953125	1	1e-08	16	1	0.1
81	0.234375	1	1e-08	64	1	0.1

85	0.000244140625	1	1e-08	16	1	0.1

88	0.00048828125	1	1e-08	16	1	0.1
82	0.0003662109375	1	1e-08	16	1	0.1

92	0.5	1	1e-08	16	1	0.1




84	0.53125	1	1e-08	32	1	0.1
76	0.0001220703125	1	1e-08	32	1	0.1
75	0.046875	1	1e-08	128	1	0.1
87	0.3125	1	1e-08	32	1	0.1




77	0.0001220703125	1	1e-08	32	1	0.1
86	6.103515625e-05	1	1e-08	8	1	0.1
80	0.375	1	1e-08	64	1	0.1



95	0.0009765625	1	1e-08	16	1	0.1

84	0.00048828125	1	1e-08	64	1	0.1
94	0.5625	1	1e-08	16	1	0.1
81	0.375	1	1e-08	128	1	0.1
83	0.0625	1	1e-08	64	1	0.1

85	0.25	1	1e-08	32	1	0.1
88	0.3125	1	1e-08	32	1	0.1

82	0.4375	1	1e-08	32	1	0.1

92	0.000213623046875	1	1e-08	32	1	0.1
93	0.00048828125	1	1e-08	16	1	0.1
90	0.0001220703125	1	1e-08	32	1	0.1
87	6.103515625e-05	1	1e-08	64	1	0.1
79	0.046875	1	1e-08	64	1	0.1



89	0.5	1	1e-08	16	1	0.1






96	0.5	1	1e-08	16	1	0.1
76	0.0003662109375	1	1e-08	64	1	0.1
73	0.25	1	1e-08	64	1	0.1

91	0.00018310546875	1	1e-08	32	1	0.1
74	0.00048828125	1	1e-08	64	1	0.1
78	0.03125	1	1e-08	128	1	0.1






80	0.1796875	1	1e-08	128	1	0.1
77	0.09375	1	1e-08	64	1	0.1


86	0.000244140625	1	1e-08	16	1	0.1

95	6.103515625e-05	1	1e-08	32	1	0.1

83	0.0625	1	1e-08	128	1	0.1
84	0.0859375	1	1e-08	128	1	0.1
87	0.015625	1	1e-08	128	1	0.1
99	0.000244140625	1	1e-08	8	1	0.1
92	0.0001220703125	1	1e-08	64	1	0.1
79	0.09375	1	1e-08	128	1	0.1
82	0.265625	1	1e-08	64	1	0.1


89	0.0009765625	1	1e-08	32	1	0.1
90	0.40625	1	1e-08	64	1	0.1

93	0.03125	1	1e-08	32	1	0.1
85	0.0001220703125	1	1e-08	64	1	0.1


